"annee","pole","hopital","service","chef","note","garde","ECOS","pédagogie..5","avis","matiere"
"DFASM1","Pole 1","Bichat","Pneumologie","Mal",15,0,"oui",4,"Alors contrairement aux avis précédents, y a une bonne ambiance dans le service, le stage reste quand même intéressant, les chefs sont ultra sympa (Vincent et Mathilde S +++), disponibles et répondent à tes questions. 
C’est vrai que ça reste un stage qui est spécialisé sur de la transplant pulmonaire (qui n’est pas au programme) mais y a quand même un peu de transversalité avec le pôle 1 (nephro/infectio). 
Pour ce qui est de la pneumo, on voit une partie du collège mais c’est essentiellement de la BPCO/fibrose, des EFR +++, des pneumothorax/pleurésies et de la lecture d’imageries.

Sur l’organisation, 
- 2 étages (8eme EST/9eme OUEST) pas de roulement et pas de grandes différences.
Pour le 9eme, 
- Mardi et Jeudi c’est visite, il faut présenter un de vos patients (c’est un bon exercice pour apprendre à faire une observ et les chefs te corrigent si besoin)   
- Des cours les mardi et vendredi à 8h45 qui sont intéressants et plutôt bien faits. 
- Mercredi il a un staff radio, force et courage c’est interminable. 
- 2 astreintes le Samedi dans le trimestre (c’est chill) avec repos d’astreinte à prendre la semaine d’après. 
- 1 semaine de vacances à poser dans le trimestre. 

Sur le déroulé,
Hors jours de visite, vous vous occupez de vos patients (2 ou 3), vous allez les voir, vous les examinez, vous checker les bios/examens, vous tenez à jour le BMI et vous rédigez un mot d'évolution. 
Pendant le trimestre on va vous proposer d’aller voir une fibro/EFR et si vous avez de la chance vous pourrez assister à une greffe.

Sur les horaires, 
C’est un stage qui reste quand même très prenant (c’est pas planque du tout) même si y aurait peut être moyen avec les nouveaux CCA/internes de partir plus tôt (je vous garanti rien) mais ne rêvez pas de pouvoir prendre des jours off. 

Soyez investis et le stage se passera bien ! ","Pneumologie"
"DFASM1","Pole 1","HEGP","Médecine vasculaire HTA","Messas",18,5,"oui",4,"Stage vraiment génial pour le pôle 1 : c'est un peu un bébé médecine interne, donc hyper enrichissant sur le plan de la prise en charge et du diagnostic. 
Vous allez faire plein de cardio, de la néphro, de la diabeto, de l'infectio, et parfois il y a un peu d'uro
Il y a pas mal de gestes a faire, donc n'hésites pas à vous manifester si vous voulez 
Les chefs sont tous très sympas
C'est vraiment tu excellent stage pour débuter l'externat, vous voyez absolument de tout! Vraiment foncez","Cardiologie"
"DFASM1","Pole 1","Cochin","Chirururgie orthopédique","Anract",18,5,"non",5,"Stage très prenant et fatiguant. Il faut toujours remplir les blocs avec 4 externes + 1 ou 2 en consult internes donc il faut s'organiser ++ avec ses costa. Mais si vous gérez bien le planning vous pourrez avoir des jours off","Chirurgie Orthopédique"
"DFASM1","Pole 1","Saint-Louis","Urologie","Desgrandchamps",15,8,"oui",4,"On est 10, mais seulement besoin de deux personnes en salle, au bloc et en consults donc en s’organisant bien dès le début on peut avoir plusieurs semaines off en plus. Cours tous les lundi à  7h30 où tout le monde doit être présent et  +/- le jeudi. Les consults reprennent la plupart des items donc y aller ++.","Urologie"
"DFASM1","Pole 1","Saint-Louis","Urologie","Desgrandchamps",13,8,"oui",4,"Stage pas trop prenant si vous vous organisez avec vos costa. Beaucoup de Gardes, un peu le point négatif… chefs et médecins très gentils 
Venez aux cours du lundi matin ++","Urologie"
"DFASM1","Pole 1","Saint-Joseph","Urologie","Durand",18,3,"non",5,"Stage vrmt plaisant il y a le bon nombre d’externes pour se sentir vraiment utiles d’un côté et pour ne pas crouler sous les tâches de l’autre. Début à 8h tt les jours donc assez prenant mais comme on ne se fait pas trop chier (sauf au staff) ça passe vite. On est vraiment utiles au bloc pour aider dans plein d’interventions (sauf celles au robot). L'équipe est très sympa globalement ça rigole pas mal possibilité même de tenter quelques blagues hardies sans trop de risques de se faire atomiser par le PU. ","Urologie"
"DFASM1","Pole 1","Bichat","Maladies Infectieuses","Yazdanpanah",15,0,"non",5,"Tres bon stage si vous kiffez la mal inf !!! Y a de tout que ce soit découverte VIH, tuberculose, maladies tropicales, infection d’urinaires bactériémies méningite on fait quasiment tout le programme !!! 
Bon encadrement avec des cours 2x/ semaine, entraînement à la LCA 
Stage prenant ++ pas de possibilité de se planquer et on finit tard donc c’est fatiguant a la longue… mais c’est un VRAI stage d’externat et on fait plus que de la mal inf (cardio pneumon nephro pas mal) ","Maladies infectieuses"
"DFASM1","Pole 1","Bichat","Maladies Infectieuses","Yazdanpanah",16,0,"oui",5,"Stage incroyable au 1 est mais tres tres prenant et fatiguant, on apprend beaucoup ++ on est tres autonome ","Maladies infectieuses"
"DFASM1","Pole 1","Bichat","Pneumologie","Crestani",19,0,"oui",4.5,"Composantes : hospitalisation (majeur partie du stage) et EFR (1 semaine environ ) 
Description service : c'est un service spécialisé dans les maladies rares pulmonaires, mais l'on retrouve quasiment tous les items de pneumo, et ce stage prépare très bien au partiel et à l'edn. 
Rôle externe : 2-3 patients à suivre par externe ; les externes doivent compléter les BMI, faire les ecg d'entrée et examiner quotidiennement leurs patients principalement.
Pédagogie : l'équipe est super, très prévenante, pédagogue ; les cours reprennent tous les grands points du collège de pneumo. 
Exigence : ce n'est pas un stage planque, mais ils ne sont pas rigides non plus. 
Organisation du service : il y a deux visites par semaine dont une professorale le lundi, très intéressante car on présente nos patients et on revoit les particularités des dossiers, les profs prennent le temps de voir si tout est bien clair. Le mercredi, a lieu le staff qui est plus technique mais permet de voir de l'imagerie, plus rarement de l'anapath et qui permet d'aller plus loin... Et aussi de présenter un patient devant le service (très bon exercice).

AU TOTAL : Très bon stage, pédagogie excellente, pertinent pour le pôle 1, a mettre dans ses premiers choix
","Pneumologie"
"DFASM1","Pole 1","Bichat","Maladies Infectieuses","Yazdanpanah",16,0,"oui",3.5,"Stage intéressant, prenant, possibilité de faire des journées complètes avec des semaines entières en off, si vous choisissez de faire des journées complète c cool mais peut être pas top pour les révisions ","Maladies infectieuses"
"DFASM1","Pole 1","Bichat","Cardiologie","Steg",14,5,"oui",3,"7ème EST uniquement (pré, post-opératoire) :
Ambiance générale sympa, mais intérêt du stage très interne dépendant et chef dépendant. Chefs sympas dans l'ensemble. Si vous voulez apprendre, il faut s'investir, s'intéresser aux dossiers et poser des questions +++ Mais on fait beaucoup d'administratif au final

Points positifs :
- Au 7ème est, on voit en majorité des valvulopathies : très bien pour se faire l'oreille, connaître la prise en charge. On voit quand même un peu l'ensemble du programme (insuffisance cardiaque, SCA, HTA, FA, ECG...)
- Patients gentils dont une partie vient de Tahiti : d'où la décoration spéciale
- On ne voit pas d'opération mais possibilité d'en voir chez les rythmos et les chir cardiaques (il faut s'organiser avec vos co-externes)
- Les cours à 8h30 sont intéressants et reprennent le collège (ex : cours sur les traitements du Pr. IUNG) mais pas tous ! On doit y être mais personne note la présence
- Possibilité de partir plus tôt, on ne nous flique pas sur ce point
- Garde (USIC) tranquille : dodo à 23h et dans le pire des cas 1h. J'ai jamais été réveillé la nuit. Repas payé par le chef ou l'interne. Par contre, le lendemain il faut faire les ECG de tous les patients de l'USIC (10 patients max) et les scanner sur Orbis avant 8h40/50 (horaire des transmissions). Donc prenez-y vous tôt ++ (dès 7h)

Points négatifs :
- Au bout d'un certain temps, on n'apprend plus rien au 7ème Est et on nous donne des ""missions"" pas intéressantes sur le plan pédagogique . On se fait chier à la longue.
- En USIC, il faut avoir minimum 2 externes tous les jours.
- Visite du mardi avec le Pr. IUNG : on s'ennuie et on ne présente pas de patients. 

Bilan : Au début, on apprenait beaucoup et c'était intéressant. À la fin, on s'ennuyait. Peu d'encadrement.","Cardiologie"
"DFASM1","Pole 1","Lariboisière","Cardiologie","Cohen Solal",14,5,"oui",5,"Choisissez bien vos internes","Cardiologie"
"DFASM1","Pole 1","Cochin","Urologie","Peyromaure",13,0,"oui",3,"Si vous vous organisez bien vous pouvez vous libérer une ou deux matinées par semaine, mais soyez discret il y a quelque chefs qui fliquent.
Les consultations sont bien, il faut être proactif en ambulatoire et au bloc sinon personne ne vous apprendra quoi que ce soit, c’est à vous d’aller vers eux ++++
Il y a cours tout les matins de 8h à 8h30 qui sont pas mal mais dès la premiere semaine certains profs ne viennent pas, donc n’hesitez pas à les appeler (bon souvent il s’en foutent et sécheront les cours tt le trimestre) ou à demander à d’autre chefs.","Urologie"
"DFASM1","Pole 1","Bichat","Nephrologie","Vrtovsnik",18,0,"oui",5,"Super stage pour un pôle 1 ! L'équipe est au top et les patients sont intéressant (principalement de la greffe rénale). Le stage prend un peu de temps quand l'on s'implique dedans mais ça apporte vraiment beaucoup pour la néphrologie, et ça permet de créé un vrai intérêt pour cette spé ! ","Néphrologie"
"DFASM1","Pole 1","Bichat","Urologie","Hermieu",18,0,"oui",5,"Non rien de particulier ","Urologie"
"DFASM1","Pole 1","HEGP","Chir cardio vasculaire","Achouh",8,8,"non",2.5,"Stage prenant pour rien 
On apprend vraiment pas grand chose 
Très souvent pas calculés 
Cours à réclamer et à faire par les externes 
Gardes très internes dépendants ","Cardiologie"
"DFASM1","Pole 1","Necker","Maladies infectieuses","Lortholary",12,0,"oui",3,"Les chefs sont sympas, il faut être là tous les jours parce qu’ils se rendent compte des absences, pose les questions que tu veux parce qu’ils sont très volontaires pour y répondre ","Maladies infectieuses"
"DFASM1","Pole 1","Saint-Louis","Maladies Infectieuses","Molina",16,0,"non",4,"Organisation typique d’une semaine : 
- Lundi : « grandes transmissions du WE » donc arrivée à 8h45 au lieu de 9h, staff de radio de 14h30-16h : vous n’y apprendrez pas grand chose et ça donne extrêmement envie de dormir mais les cas sont sympas pour la plupart ou peuvent être vos patients 
- Mardi : staff de service de 12h45-13h30 ce qui veut dire manger tard
- Mercredi : Visite de la 2e moitié de la salle avec le Pr. Molina. Honnêtement c’est le gros moment de la semaine, faut connaître tous ses patients par cœur (genre apprenez les taux de CD4 d’il y a 6 mois des patients VIH #ptsd) et Molina est vraiment impitoyable 
- Jeudi : visite de la 1re moitié de la salle avec Pr. Le beaux et les CCA. Ce sont des amours donc une visite beaucoup plus chill 
- Vendredi : y’a rien de particulier 
Entre tout ça y’a des cours pour les externes et les internes à certaines dates, en zoom et en présentiel s’ils se passent à St Louis

Généralités : 
- Repas du midi : Nous on mangeait en salle de garde avec les internes qui restaient plus ou moins avec nous. C’est top parce que c’est gratuit et en vrai l’ambiance est rigolote 
- Déroulé d’une journée : En gros, vous allez la majorité du temps tourner à 4 externes pour 22 patients (2 externes en vacances en général) ce qui vous fait pas mal de patients en vrai (5-6). Vous aurez entre 0 à 2 entrées par jour. Là matin vous voyez vos patients, demande d’examen complémentaire… et l’aprèm vous faites vos entrées","Maladies infectieuses"
"DFASM1","Pole 1","Saint-Louis","Maladies Infectieuses","Molina",18,0,"non",5,"C’était un stage incroyable, je recommande à 100% L’ambiance est top (très interne dépendant quand même) mais les médecins, le puph, les cca sont ADORABLES, ils prennent vraiment le temps pour vous, vous expliquent pleins de choses, sont hyper impliqués. Vous allez énormément apprendre et dans une très bonne ambiance (bonus où si vous avez de la chance vous pouvez faire des PL - j’ai pu en faire 2 )","Maladies infectieuses"
"DFASM1","Pole 1","HEGP","Néphrologie","THERVET",20,3,"non",5,"Stage utile pour la néphro +++. Balaye tout le collège, qui vous paraîtra bcp plus limpide en sortant de ce stage.
Équipe extrêmement bienveillante. 
Staff le lundi matin 8h30, et staff anapath le vendredi 9h ( si on y met un peu de concentration: très utile pour la compréhension des néphropathies ). Visite pour les internes + nous, du chef de service le mardi. Et visite seulement pour nous par le Pr. Karras le vendredi ( reprends les patients, vous explique les pathologies en les mettant en lien avec les items, les points a bien connaître ect … ). 
Points positifs: stage vraiment très utile pour la compréhension du collège de néphro.
Points négatifs: pancartes avec les bio des patients à remplir tt les matins ( un peu long au début jusqu’à avoir pris la main ). + chef de service lorsqu’il s’est levé du mauvais pied peut être très meskin ( mais pas de panique vous le voyez que 2h pdnt la visite du mardi ). ","Néphrologie"
"DFASM1","Pole 1","Saint-Louis","Pneumologie","Tazi",17,0,"oui",4.5,"Très bon stage pour apprendre les items de pneumo. Une semaine en plateau technique pour voir les fibro bronchique, consult, EFR. Possible de finir entre 12-13h, voire après 13h. 2 visites/semaine (une chill et une formelle). Les chefs/internes sont super sympas. ","Pneumologie"
"DFASM1","Pole 1","Lariboisière","Cardiologie","Cohen Solal",18,7,"oui",5,"Très bon stage pour apprendre la cardiologie. 3 secteurs USIC (SCA+++), hospitalisation conventionnelle (décompensation cardiaques, valvulopathies...) et hds (bilan préopératoire pour bcp). L'équipe est vraiment très bien, les cours sont top mais il y a bcp de changements de cca et ph à venir dans le service. 
Il y a pas mal de gardes ce qui est pas forcément facile au T1 mais ça vaut le coup ! Assez chronophage mais rentable++ et sentiment d'utilité (vrai rôle d'externe ). On peut aussi aller en coro, en écho ou en explo fonctionnelle quand on veut. Il y a des consultations aussi. On est beaucoup d'externes et avec les D4 ça surcharge un peu mais ça fait aussi un rythme plus tranquille.
Usic en journée complète sinon c'est demi journée. Ils laissent la possibilité de faire que demi journée mais alors pas dusic. 

Globalement très bon stage pour apprendre la cardio, lire des ECG et rencontrer Théo Pezel 😜.","Cardiologie"
"DFASM1","Pole 1","Bichat","Urologie","Hermieu",16,0,"oui",3.5,"C'est un stage assez polyvalent qui peut être très planque ou très actif selon ce qu'on y recherche.
Si on veut rester planqués, on peut rouler entre externes (globalement il n'y avait besoin que de 2 personnes par zone, et encore) et préférer la salle où on peut sortir à 9h30 (lol)
Mais en bloc et en consult, on voit plein de trucs et c'est méga intéressant !
Les CCAs sont très sympa, aussi ;) ","Urologie"
"DFASM1","Pole 1","Saint-Joseph","Chir ortho","Riouallon",16,4,"oui",3.5,"Pas d’obligation à venir en stage+++,  cependant moins vous venez et moins on vous calcule, donc moins vous faites de choses au bloc.
Stage interne-dépendant+++, c’est eux qui vous apprennent à suturer et qui vous laissent faire des trucs stylés de chir ortho. 
Staff de 8h à 9h le matin, les externes doivent interpréter les radios, vous deviendrez chaud de ouf en fractures. 
Mm si la chirurgie vous branche pas trop/pas du tout, vous apprécierez ce stage, qd mm, foncezzzzz !!","Chirurgie Orthopédique"
"DFASM1","Pole 1","Bichat","Pneumologie","Crestani",17.5,0,"oui",4.5,"Les cours ont lieu environ 2 fois par semaine ils sont vraiment utiles ++ (certains sous forme d’ARC) 
Le mercredi il y a staff on doit y assister et un externe présente un patient chaque semaine 
On choisit son côté de salle (petits ou grands numéros) en début de stage et ça reste fixe (hors dépannage) pour toute la durée du stage 
-> perso j’étais dans les petits numéros: le professeur est très bienveillant et nous refait des rappels de cours pendant la visite 
Chaque semaine un externe passe aux EFR pour voir les épreuves de souffle et apprendre à les analyser, et à faire des gaz du sang. On peut vite gagner en autonomie en voyant les patients seuls et l’équipe des inf est très sympa :) 
Pas de garde mais seulement 2 astreintes, avec repos le mercredi (vous loupez le staff ducoup hehe) 
Le jeudi pas de cours ni de staff donc on finit assez tôt ce qu’on a à faire, n’hésitez pas à demander à partir plutôt que de rester à se tourner les pouces! ","Pneumologie"
"DFASM1","Pole 1","Bichat","Pneumologie","Crestani",17,0,"oui",5,"Il faudra choisir son côté de la salle en début de stage ; côté ""petits numéros"" de la salle, Pr Borie est très bienveillant et investi pour les externes pendant les visites !! ","Pneumologie"
"DFASM1","Pole 1","Saint-Louis","Maladies Infectieuses","Molina",19,0,"oui",4.5,"Visite les mercredis et les jeudis matins avec les chefs, et les externes font les entrées l'après-midi. Les journées complètes et le travail personnel peuvent être compliqués à concilier, faut être prêt à se lever le matin les semaines où on a pas stage. Le stage peut être pas mal interne-dépendant vu qu'on est tout le temps avec eux, mais généralement ils sont top, et les chefs sont incroyables. Foncez, vous apprendrez plein de choses","Maladies infectieuses"
"DFASM1","Pole 1","Lariboisière","Cardiologie","Cohen Solal",18,6,"oui",5,"Stage intense avec garde chaque soir dimanche 24h astreinte le samedi matin.
Mais cours très utiles et beaucoup d’aide pour comprendre la cardio. 
Internes et chefs très présents.","Cardiologie"
"DFASM1","Pole 1","Lariboisière","Cardiologie","Cohen Solal",17,6,"oui",3.5,"- y'a théo pezel (auteur du KB) dans le service donc apprenez bien vos cours
- l'usic c'est fatigant, ne pas négliger le repos prévu pendant la semaine de repos
- parler des choses émotionnelles aux internes que vous aimez bien car les soins intensifs ca peut etre choquant (rapport à la mort par ex)
- en usic vous irez manger avec les internes dans la salle de garde au sous-sol et y'a plein de regles chiantes genre faluche mais on mange trop bien !
- globalement c'est un super stage tres stimulant ou vous apprendrez plein de choses et qui aidera a apprendre les cours
","Cardiologie"
"DFASM1","Pole 1","Saint-Louis","Urologie","Desgrandchamps",14,7,"non",3,"Stage globalement pas si mal
Tres chefs/interne dependant
Semaine/journée off mais quand vous venez c’est des gros horaire 7h30-13h30 parfois et bcp de gardes","Urologie"
"DFASM1","Pole 1","Bichat","Radiologie","Khalil",18,0,"oui",4,"Stage incroyable car à la fois planque et bien pour apprendre la radio, revoir l'anat et les indications / CI des différentes techniques d'imagerie. L'ambiance est vraiment chill, tant grâce au chef de service (à peine vu mais très sympa) qu'au CCA, tout le monde est adorable. 
On sort très souvent tôt (11h30/12h) mais parfois il y a un peu de temps mort ou de moments désorganisés (par ex les cours du mardi sont aléatoires) : n'hésitez pas à vérifier le planning et demander aux chefs / internes pour orienter les cours sur le pôle 1. 
C'est mieux si on s'entend bien avec son/sa co externe parce qu'on passe beaucoup de temps café ou petit dej à refaire le monde (ou juste le monde de la fac) :) ","Radiologie"
"DFASM1","Pole 1","Bichat","Pneumologie","Crestani",16,0,"oui",4,"Bon stage de pneumo avec beaucoup de cours qui sont cool. Le pôle 1 est dense donc ça permet d’être plus à l’aise en pneumo. Tout de même assez spécialise en fibrose. Comme dans tout les stages très interne dépendant. Chaque externe a ses propres patients (2-3). Les visites sont cool pour avoir une vision d’ensemble sur tout les patients mais assez répétitif en fin de stage. La semaine aux efr permet de faire des gaz du sang et de terminer plus tôt sinon on fait vite le tour. Un interne (ou chef) peux vous demander de présenter un patient lors d’un staff (il relie votre présentation et vous aide bien sûr ). En conclusion, bon stage de salle pour commencer l’externat et pour comprendre les bases de la pneumo","Pneumologie"
"DFASM1","Pole 1","Bichat","Pneumologie","Crestani",16,0,"oui",4,"Je n'ai pas grand-chose à dire, si ce n'est qu'ils ont été très accommodants avec moi en tant qu'étudiante Erasmus :D","Pneumologie"
"DFASM1","Pole 1","Bichat","Maladies Infectieuses","Yazdanpanah",18,0,"non",4.5,"on avait le choix de prendre journée complète ou matinées, et journées complètes c'est assez épuisant je m'en était pas rendu compte","Maladies infectieuses"
"DFASM1","Pole 1","Bichat","Radiologie","Khalil",17,0,"non",5,"Stage assez tranquille vu qu’on a un rôle d’observateur. Les internes expliquent vraiment bien les scanners, échos, etc… on ressort de ce stage avec un véritable + concernant les lecteurs d’image (scanner, radio, écho).","Radiologie"
"DFASM1","Pole 1","Bichat","Chirurgie Cardiaque","Nataf",14,5,"oui",3,"Honnêtement il n'y a pas grand chose à faire. Vous arrivez à 9h, vous faites les transmissions avec les internes, CCA, PH et les infirmiers. Puis vous avez souvent des ECG à faire, soit de contrôle, soit avant le retrait d'une électrode, soit avant la sortie. Puis vous voyez 2-3 patients, écrivez les mots et généralement vers 11h30 vous avez fini. Vous attendez que l'interne relise votre mot et vous pouvez partir. L'inconvénient c'est que ce sont des patients qui ont été opérés pour des valvulopathies et d'autres pathologies cardiaques donc ne vous attendez pas à entendre des souffles sauf éventuellement pour les patients d'USC (essayez d'aller écouter des souffles dans les autres services de cardio si vous avez le temps, ça peut être pas mal). Par contre vous allez pouvoir voir pas mal de troubles de conduction, du rythme, etc. Et c'est vraiment un stage où vous allez vous perfectionner à l'interprétation des ECG si vous vous en donner les moyens. Profitez-en pour poser toutes vos questions. Le seul geste que vous allez faire c'est le retrait d'électrodes. Pour conclure c'est un stage pas très prenant et assez planque. Et si vous vous organisez avec vos co-sta vous pouvez vous arranger pour ne pas venir tous les jours. Et n'hésitez pas à aller au bloc aussi, même ceux de rythmo (généralement faut être au bloc à 8h)","Cardiologie"
"DFASM1","Pole 1","Bichat","Cardiologie","Steg",15,4,"oui",2,"Stage assez Chill, il faut bien s’investir et ne pas hésitez à demander à voir des coros, écho, pose de PM car on se sent vite inutile.
Au 6e EST en HDS : journée complète le lundi pour voir les entrées et pas de stage le vendredi matin, le reste de la semaine il y a peu à faire. Si vous voulez aller en USIC, mettez vous tous devant le premier jour, vous serez les premiers à choisir.  ","Cardiologie"
"DFASM1","Pole 1","Saint-Louis","Maladies Infectieuses","Molina",16,0,"oui",4,"Je recommande ce stage à toute personne prête à s’investir à max. Si c’est le cas, vous allez rapidement trouver votre place dans le service et devenir un réel acteur dans la prise en charge des patients. Votre examen clinique a la fin de ce stage sera impeccable tellement vous auriez brasser du patient.
 Avec l’organisation en 2 semaines journées completes, il y a un réel suivi et vous pouvez voir l’évolution ainsi que faire des entrées. Bcp d’autonomie +++ un peu le sd de l’imposteur au début mais qd on s’habitue au service ça passe tout seul. Plus tu t’investis plus le stage est rentable. Mais il est TRÈS fatiguant, des longue journées. On nous demande beaucoup, on peut être dépasser mais franchement, malgré la fatigue ça nous permet de comprendre la logique derrière la MIT. (J’ai pas bcp ouvert le pilly par contre je me tape des bonnes notes au annales). Ça va vous bouffer un temps monstrueux mais vu que c’est une spé transversale vous pouvez taffer les autres matières du pôle 1. 
Le professeur lebeaux est un SUCRE, dès que vous pouvez faire visite avec lui sautez à l’occasion : a jour sur TOUT ce qui est R2C il peut répondre à TOUTES vos questions avec le SOURIRE ","Maladies infectieuses"
"DFASM1","Pole 1","Saint-Louis","Pneumologie","Tazi",14,0,"oui",4.5,"En salle (2 visites/semaine): 9-13h en théorie mais les jours sans visite on peut partir plus tôt et arriver plus tard tant que tu montres que t’es investi on te dit rien
Les internes sont très occupés donc on passait beaucoup de temps à les attendre
Les cours sont cools, on balaie tous les items importants","Pneumologie"
